Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
102,0.7668887706,-1.823236529,665.0335614,140.7123767,-1711.088265,-632.3159009,4003.391072,-102.8345683,54.14552742,3.211869589,1.278921188,-0.2594617374,17.57059836,-24.69260815
103,0.7660153892,-1.8249516,664.2862482,141.5423924,-1712.696419,-633.771575,4002.563198,-105.2307496,54.07379403,3.221270145,1.278702285,-0.2626717959,17.53759151,-24.60579479
104,0.7649182552,-1.826611284,663.3340907,142.3214766,-1714.251573,-635.3268996,4001.45604,-107.1465255,53.99707242,3.233066529,1.27742432,-0.2679837774,17.50936309,-24.50985214
105,0.7638504987,-1.828136227,662.3958723,142.8649016,-1715.686022,-636.7648459,3999.827857,-108.9965929,53.93396158,3.248535423,1.281800833,-0.2703748385,17.46813333,-24.41761617
106,0.7626672985,-1.829965529,661.3529489,143.0947653,-1717.404304,-638.2975082,3998.35737,-110.7631717,53.86729404,3.267055576,1.284585062,-0.2753380621,17.43270659,-24.3159615
107,0.7617085311,-1.831841578,660.5066368,142.9572073,-1719.170906,-639.7688891,3996.586318,-112.6449582,53.81448555,3.288469207,1.291850156,-0.2779369233,17.38625933,-24.21929421
108,0.7607023541,-1.8339492,659.6212412,142.5754319,-1721.151781,-641.4099072,3995.049015,-114.3058701,53.75630044,3.311443651,1.296222996,-0.2834661969,17.34719424,-24.1145018
109,0.7596251834,-1.836080206,658.6572404,141.9625928,-1723.158092,-642.9709769,3993.470283,-115.7128583,53.71014354,3.336027074,1.30410201,-0.2868250143,17.29817761,-24.01728725
110,0.7583584558,-1.838462473,657.5216389,141.2556957,-1725.396986,-644.6621591,3992.285758,-116.5701837,53.65782305,3.361420988,1.308934421,-0.2928287311,17.25568126,-23.91468137
111,0.7572671629,-1.84096172,656.5382382,140.3809065,-1727.74916,-646.218596,3991.334283,-117.3858932,53.61782232,3.387428685,1.317344755,-0.2960628186,17.20331624,-23.82216433
112,0.7563108555,-1.843745742,655.6874202,139.3561466,-1730.365186,-647.8442431,3991.214371,-118.2129835,53.57182672,3.413027644,1.322548922,-0.3016957213,17.15747922,-23.72624795
113,0.7556425243,-1.846598599,655.0955085,138.1536156,-1733.04875,-649.391713,3991.609929,-119.223707,53.53698546,3.43859885,1.330737736,-0.3049997378,17.10218783,-23.64082288
114,0.7549689428,-1.849551608,654.5060564,136.8290794,-1735.822478,-651.0189414,3992.624122,-120.0239635,53.49476082,3.463126882,1.335168625,-0.3107350583,17.05468814,-23.55153901
115,0.7545162553,-1.852377362,654.1130871,135.4834124,-1738.47949,-652.5602119,3993.89297,-120.6060386,53.46320533,3.486658269,1.34222277,-0.3137888267,17.00075259,-23.47274041
116,0.7541670221,-1.85541844,653.8244153,134.2361983,-1741.334668,-654.2874136,3995.865045,-120.7691099,53.42437044,3.508437845,1.345513733,-0.3192498569,16.95776259,-23.39106849
117,0.7540818166,-1.858633319,653.772525,132.9991912,-1744.355489,-656.0494775,3998.15096,-120.8669526,53.39635596,3.528554911,1.351460262,-0.321733777,16.90921531,-23.32106423
118,0.7540575551,-1.862087092,653.785656,131.7648517,-1747.596402,-658.0115934,4000.874574,-120.8712597,53.36047278,3.54652097,1.353466338,-0.3262948458,16.87201715,-23.2487232
119,0.7543419416,-1.865586024,654.0784598,130.5205104,-1750.882317,-659.9943363,4003.826243,-121.0880952,53.33436333,3.562848914,1.358124457,-0.3281307178,16.83101577,-23.18733669
120,0.7547069079,-1.869301247,654.454973,129.4293852,-1754.366583,-662.2254683,4007.508849,-121.3175614,53.30011112,3.577093628,1.358298959,-0.3325615879,16.80354396,-23.12380719
